order_id,product_id,category,old_name,price,base_price,status,amount,region,priority,user_id
1,1001,Electronics,item_1,373.36,130.0,Completed,2222.59,North,Low,1
2,1002,Electronics,item_2,55.91,124.0,Cancelled,128.28,South,Low,2
3,1003,Toys,item_3,215.56,230.11,Pending,2437.82,North,High,3
4,1004,Grocery,item_4,146.16,115.5,Pending,351.52,West,High,4
5,1005,Grocery,item_5,305.83,405.49,Cancelled,1405.3,North,Medium,5
6,1006,Grocery,item_6,416.41,313.07,Pending,1753.19,North,High,6
7,1007,Grocery,item_7,492.76,429.11,Completed,1171.37,West,Low,7
8,1008,Clothing,item_8,191.39,112.66,Pending,2120.37,North,Low,8
9,1009,Toys,item_9,367.27,90.07,Pending,846.35,South,Low,9
10,1010,Electronics,item_10,122.23,25.73,Pending,1233.44,North,High,10
11,1011,Toys,item_11,439.42,164.19,Cancelled,1522.73,West,High,11
12,1012,Clothing,item_12,375.04,274.1,Cancelled,1774.53,West,Medium,12
13,1013,Clothing,item_13,259.67,54.55,Completed,2590.25,South,Low,13
14,1014,Furniture,item_14,302.24,198.54,Cancelled,2988.56,East,Low,14
15,1015,Electronics,item_15,343.34,66.13,Cancelled,2265.09,East,High,15
16,1016,Clothing,item_16,232.32,477.37,Cancelled,827.0,South,Low,16
17,1017,Grocery,item_17,422.42,258.75,Completed,500.88,South,Low,17
18,1018,Toys,item_18,460.06,303.48,Pending,107.46,East,Medium,18
19,1019,Clothing,item_19,440.22,474.01,Completed,2209.13,North,Low,19
20,1020,Clothing,item_20,333.28,473.96,Completed,831.92,West,High,20
21,1021,Clothing,item_21,359.34,205.51,Cancelled,1967.14,West,Low,21
22,1022,Clothing,item_22,120.1,175.66,Cancelled,1684.07,South,High,22
23,1023,Electronics,item_23,122.18,453.66,Pending,259.03,South,Medium,23
24,1024,Clothing,item_24,274.22,364.44,Cancelled,1749.82,South,Medium,24
25,1025,Clothing,item_25,56.22,332.9,Pending,1299.56,West,Low,25
26,1026,Electronics,item_26,39.7,366.82,Completed,783.54,South,Low,26
27,1027,Furniture,item_27,99.91,236.69,Completed,1357.24,North,High,27
28,1028,Toys,item_28,419.65,484.81,Completed,540.62,West,Medium,28
29,1029,Furniture,item_29,452.2,90.67,Completed,2956.66,East,Medium,29
30,1030,Toys,item_30,334.32,248.47,Completed,925.29,North,Low,30
31,1031,Electronics,item_31,376.51,38.01,Cancelled,1456.53,South,High,31
32,1032,Electronics,item_32,427.16,43.58,Completed,2041.88,South,Medium,32
33,1033,Toys,item_33,130.65,301.31,Cancelled,291.85,East,Medium,33
34,1034,Grocery,item_34,126.96,203.94,Cancelled,1954.23,West,Medium,34
35,1035,Electronics,item_35,14.56,314.37,Cancelled,2988.48,North,Low,35
36,1036,Grocery,item_36,74.9,181.01,Completed,2643.85,East,Medium,36
37,1037,Toys,item_37,354.73,309.72,Cancelled,1610.38,East,Low,37
38,1038,Clothing,item_38,139.59,445.96,Cancelled,1682.01,East,Medium,38
39,1039,Grocery,item_39,109.76,320.78,Pending,1540.96,East,High,39
40,1040,Furniture,item_40,416.38,31.6,Pending,2324.8,East,High,40
41,1041,Toys,item_41,355.78,284.84,Completed,271.97,South,Low,41
42,1042,Grocery,item_42,295.43,82.57,Completed,173.4,East,High,
43,1043,Clothing,item_43,344.21,336.8,Pending,2351.34,West,Low,43
44,1044,Clothing,item_44,433.66,488.34,Completed,2650.18,North,High,44
45,1045,Grocery,item_45,393.37,211.74,Cancelled,2598.99,South,Medium,45
46,1046,Electronics,item_46,197.45,28.98,Pending,706.18,West,Medium,46
47,1047,Clothing,item_47,119.23,333.42,Pending,1018.37,North,Medium,47
48,1048,Toys,item_48,205.84,490.76,Cancelled,1026.89,North,High,48
49,1049,Grocery,item_49,97.5,481.64,Pending,162.86,West,Medium,49
50,1050,Grocery,item_50,223.83,492.28,Completed,1186.33,South,Medium,50
51,1051,Furniture,item_51,10.83,463.53,Cancelled,2076.23,South,Medium,
52,1052,Grocery,item_52,315.35,335.06,Completed,2173.28,East,Low,52
53,1053,Furniture,item_53,169.83,351.63,Cancelled,425.5,West,Low,53
54,1054,Clothing,item_54,311.6,157.47,Cancelled,2509.49,East,Medium,54
55,1055,Toys,item_55,307.26,167.9,Pending,1354.37,South,Low,55
56,1056,Clothing,item_56,332.84,149.06,Cancelled,1917.18,East,High,56
57,1057,Clothing,item_57,339.67,120.07,Completed,484.69,North,High,57
58,1058,Toys,item_58,426.37,45.69,Pending,2664.1,South,Low,58
59,1059,Furniture,item_59,205.83,82.31,Cancelled,66.36,North,Medium,59
60,1060,Toys,item_60,237.63,283.13,Completed,1396.56,West,Low,60
61,1061,Toys,item_61,301.77,475.52,Pending,1857.32,West,Low,61
62,1062,Clothing,item_62,374.39,242.59,Pending,2267.74,East,Low,62
63,1063,Clothing,item_63,144.55,47.97,Pending,741.76,East,Medium,63
64,1064,Electronics,item_64,77.8,123.32,Cancelled,500.78,South,High,64
65,1065,Grocery,item_65,275.88,213.73,Completed,2507.03,West,Low,65
66,1066,Electronics,item_66,429.8,385.14,Pending,1457.09,East,Medium,66
67,1067,Furniture,item_67,273.73,369.97,Cancelled,2698.54,West,High,67
68,1068,Furniture,item_68,24.22,174.7,Cancelled,2404.52,South,Medium,68
69,1069,Toys,item_69,271.72,454.4,Cancelled,1714.96,North,High,69
70,1070,Clothing,item_70,434.76,99.05,Pending,1168.36,South,Medium,70
71,1071,Furniture,item_71,146.35,476.09,Pending,794.2,North,Medium,71
72,1072,Toys,item_72,35.52,476.44,Completed,1967.93,North,High,
73,1073,Clothing,item_73,421.22,314.45,Completed,422.35,North,Low,73
74,1074,Furniture,item_74,352.74,385.78,Completed,1837.38,North,High,74
75,1075,Electronics,item_75,293.56,465.15,Cancelled,2048.17,West,Medium,75
76,1076,Clothing,item_76,47.24,348.4,Cancelled,766.41,East,Low,76
77,1077,Electronics,item_77,400.15,287.31,Completed,1074.25,West,Low,77
78,1078,Toys,item_78,327.3,16.2,Pending,2475.88,North,Medium,78
79,1079,Furniture,item_79,356.58,223.39,Cancelled,1589.15,East,Low,79
80,1080,Toys,item_80,389.57,237.79,Cancelled,1797.8,East,High,80
81,1081,Electronics,item_81,146.67,230.89,Pending,1731.06,West,Medium,81
82,1082,Grocery,item_82,99.1,113.94,Pending,1054.0,East,Low,
83,1083,Clothing,item_83,51.95,362.84,Pending,1687.77,South,Low,
84,1084,Furniture,item_84,229.61,18.45,Pending,703.71,South,Medium,84
85,1085,Grocery,item_85,241.9,270.15,Pending,2990.06,East,Medium,85
86,1086,Grocery,item_86,160.25,122.96,Cancelled,618.12,North,Low,86
87,1087,Clothing,item_87,103.86,371.92,Pending,2187.53,East,High,87
88,1088,Grocery,item_88,121.47,97.93,Completed,2138.65,South,Medium,88
89,1089,Electronics,item_89,281.15,351.73,Completed,1931.72,West,High,
90,1090,Toys,item_90,149.33,244.57,Pending,593.87,North,Medium,90
91,1091,Furniture,item_91,65.9,42.02,Pending,268.54,North,High,91
92,1092,Toys,item_92,475.07,51.74,Completed,399.43,West,Low,92
93,1093,Toys,item_93,120.59,266.06,Pending,2730.09,East,Low,93
94,1094,Grocery,item_94,288.63,39.51,Cancelled,342.74,South,Low,94
95,1095,Electronics,item_95,86.96,95.17,Completed,511.77,West,Medium,95
96,1096,Furniture,item_96,152.72,123.42,Cancelled,884.02,West,High,96
97,1097,Grocery,item_97,396.04,316.28,Cancelled,2421.52,South,Medium,97
98,1098,Clothing,item_98,327.34,455.12,Completed,260.66,South,Medium,98
99,1099,Toys,item_99,461.38,225.19,Pending,2081.6,West,Medium,99
100,1100,Furniture,item_100,224.5,303.04,Pending,2216.88,East,High,100
101,1101,Toys,item_101,297.69,20.17,Cancelled,2473.19,North,High,101
102,1102,Furniture,item_102,458.88,98.93,Cancelled,1335.86,West,High,102
103,1103,Furniture,item_103,173.32,338.37,Completed,1022.92,West,Medium,103
104,1104,Furniture,item_104,408.65,279.55,Pending,309.78,East,Medium,104
105,1105,Furniture,item_105,433.81,414.21,Completed,1990.1,West,Medium,105
106,1106,Toys,item_106,187.27,380.66,Cancelled,1354.02,North,High,106
107,1107,Clothing,item_107,464.56,224.68,Cancelled,1479.9,North,Low,107
108,1108,Clothing,item_108,357.79,162.27,Completed,1679.14,North,High,108
109,1109,Electronics,item_109,236.11,67.56,Completed,1520.21,East,Low,109
110,1110,Furniture,item_110,419.01,490.32,Completed,1397.52,South,Medium,110
111,1111,Toys,item_111,259.04,440.87,Completed,864.93,West,Medium,111
112,1112,Toys,item_112,140.91,11.26,Cancelled,930.74,West,High,112
113,1113,Furniture,item_113,179.11,280.44,Cancelled,1162.77,East,High,113
114,1114,Clothing,item_114,290.18,124.45,Pending,178.76,West,Low,114
115,1115,Furniture,item_115,199.18,335.21,Cancelled,2943.41,West,High,115
116,1116,Toys,item_116,172.68,59.18,Pending,344.15,West,High,116
117,1117,Furniture,item_117,436.76,485.28,Completed,1435.0,East,Medium,117
118,1118,Furniture,item_118,328.42,427.36,Cancelled,2585.06,West,Medium,118
119,1119,Furniture,item_119,437.47,27.59,Completed,742.57,East,High,119
120,1120,Furniture,item_120,489.39,382.58,Cancelled,2624.11,West,High,120
121,1121,Electronics,item_121,32.54,400.11,Pending,1107.47,West,High,121
122,1122,Furniture,item_122,287.3,398.33,Completed,566.45,West,Low,122
123,1123,Furniture,item_123,457.29,80.13,Pending,1931.82,West,Medium,123
124,1124,Furniture,item_124,451.59,342.03,Completed,267.89,East,Low,124
125,1125,Furniture,item_125,348.25,233.85,Pending,637.69,West,Medium,125
126,1126,Furniture,item_126,290.24,291.66,Cancelled,920.93,West,Medium,126
127,1127,Electronics,item_127,456.2,375.13,Pending,2338.44,South,Low,
128,1128,Clothing,item_128,321.94,314.24,Cancelled,2278.95,South,Low,128
129,1129,Electronics,item_129,161.38,226.0,Cancelled,1126.34,South,High,129
130,1130,Grocery,item_130,376.27,96.06,Completed,2370.21,East,Low,130
131,1131,Grocery,item_131,416.93,135.92,Pending,2903.78,East,Low,131
132,1132,Electronics,item_132,239.48,46.9,Completed,2587.41,West,Low,132
133,1133,Furniture,item_133,16.82,272.92,Pending,1137.33,East,Low,133
134,1134,Grocery,item_134,63.09,124.57,Completed,1877.66,East,Low,134
135,1135,Electronics,item_135,321.35,237.49,Cancelled,941.46,West,High,135
136,1136,Electronics,item_136,159.14,251.39,Completed,742.66,South,Medium,136
137,1137,Toys,item_137,215.37,373.71,Completed,2661.97,North,Medium,137
138,1138,Grocery,item_138,26.03,191.56,Pending,1361.85,South,Medium,138
139,1139,Grocery,item_139,276.79,489.14,Pending,228.62,East,High,139
140,1140,Furniture,item_140,54.92,113.93,Cancelled,1811.58,North,High,140
141,1141,Clothing,item_141,494.52,395.62,Completed,252.4,South,Low,141
142,1142,Clothing,item_142,170.99,82.3,Cancelled,58.36,South,High,142
143,1143,Clothing,item_143,63.86,434.56,Completed,93.84,South,Low,143
144,1144,Clothing,item_144,140.03,72.11,Pending,1601.95,North,Medium,144
145,1145,Grocery,item_145,261.49,63.44,Cancelled,703.57,North,Low,145
146,1146,Toys,item_146,157.8,325.24,Completed,229.43,West,Medium,146
147,1147,Electronics,item_147,250.23,455.75,Completed,2702.84,East,Low,147
148,1148,Clothing,item_148,144.76,320.21,Cancelled,2150.85,West,Low,148
149,1149,Furniture,item_149,257.72,220.8,Cancelled,387.52,South,Medium,149
150,1150,Clothing,item_150,212.77,415.44,Pending,1277.17,North,Medium,150
151,1151,Grocery,item_151,193.41,84.79,Pending,248.04,North,High,151
152,1152,Grocery,item_152,407.77,282.62,Cancelled,2872.04,East,Low,152
153,1153,Grocery,item_153,438.07,471.15,Pending,2610.87,North,Medium,153
154,1154,Grocery,item_154,60.76,258.63,Completed,1987.37,South,High,154
155,1155,Toys,item_155,190.1,383.68,Cancelled,717.17,West,Low,155
156,1156,Toys,item_156,310.65,324.92,Completed,1846.54,East,High,156
157,1157,Grocery,item_157,461.55,182.0,Completed,2616.09,West,High,157
158,1158,Electronics,item_158,54.96,269.94,Pending,1288.51,East,High,158
159,1159,Grocery,item_159,390.65,288.12,Completed,2655.86,South,High,159
160,1160,Electronics,item_160,340.24,143.33,Cancelled,1300.84,West,Medium,160
161,1161,Toys,item_161,65.77,220.66,Pending,2050.74,West,Low,161
162,1162,Electronics,item_162,118.05,492.38,Completed,72.68,East,High,162
163,1163,Grocery,item_163,151.83,68.79,Pending,2253.69,South,High,163
164,1164,Clothing,item_164,255.13,418.34,Pending,262.62,North,Medium,164
165,1165,Electronics,item_165,432.43,292.12,Cancelled,1243.05,West,Medium,
166,1166,Electronics,item_166,483.44,94.22,Cancelled,1407.29,East,High,166
167,1167,Electronics,item_167,129.23,298.55,Cancelled,282.01,East,Low,167
168,1168,Grocery,item_168,391.77,47.43,Cancelled,386.38,South,Medium,168
169,1169,Clothing,item_169,125.77,81.76,Completed,561.82,South,Low,169
170,1170,Furniture,item_170,237.34,286.23,Cancelled,1374.27,East,Low,170
171,1171,Furniture,item_171,43.46,226.68,Pending,2399.17,North,Medium,171
172,1172,Grocery,item_172,236.25,28.43,Pending,2503.51,North,Low,172
173,1173,Electronics,item_173,311.35,258.46,Pending,1761.97,North,Medium,173
174,1174,Toys,item_174,329.4,167.55,Pending,1529.03,North,Medium,174
