item_id,order_id,product_id,quantity,unit_price,discount_percent,is_return
4215,1720,355,6,13363.64,7.5,False
992,409,104,5,3310.66,16.99,False
2258,922,364,1,2738.36,15.54,False
3900,1594,477,1,8167.91,12.09,False
3194,1308,382,2,12537.92,28.6,False
4451,1815,338,6,15285.25,21.86,False
980,403,265,4,8150.43,9.21,False
2054,837,144,1,24930.61,14.98,False
4667,1899,508,6,9553.71,12.06,False
2629,1067,31,5,6779.71,6.3,False
157,62,201,4,23199.49,18.59,False
2558,1040,331,5,12521.61,27.74,False
2228,908,140,4,11833.16,21.53,False
1063,437,246,5,1878.97,19.31,False
974,400,475,4,23194.79,21.44,False
496,208,43,5,27235.84,0.11,False
1684,688,391,5,10744.85,30.32,False
1466,604,245,5,24640.96,22.19,False
60,24,3,4,2375.56,32.13,False
4666,1898,280,6,27075.74,22.01,False
99,40,343,2,27553.08,28.03,False
942,388,352,2,17487.6,32.34,False
930,384,307,3,5428.03,27.02,False
2895,1181,455,4,11924.54,22.94,False
3362,1372,211,2,27743.31,18.69,False
2473,1006,496,1,23405.57,23.35,False
4102,1674,166,2,11982.51,10.19,False
984,405,209,1,14701.08,21.37,False
795,331,317,2,15423.58,29.0,False
4614,1876,334,6,19584.06,22.08,False
4662,1896,537,6,10549.4,31.29,False
1496,616,115,5,5681.52,15.7,False
1092,450,368,5,3447.21,1.48,False
4658,1895,357,6,26879.45,32.98,False
4201,1715,129,6,12000.71,6.07,False
4395,1793,456,5,17570.94,20.96,False
3667,1499,328,2,3688.16,36.13,False
1052,433,214,5,15729.25,2.6,False
3059,1253,435,-1,29775.04,34.05,True
2056,838,264,1,12787.02,20.55,False
4912,2000,21,1,9355.13,13.59,False
3470,1415,249,6,18941.32,35.24,False
3,1,339,6,21970.35,25.41,False
3416,1394,337,3,15104.06,15.51,False
222,91,376,-6,23781.76,9.51,True
1641,672,287,3,11092.57,20.36,False
3733,1525,117,5,27039.29,25.6,False
1947,794,386,3,13091.62,30.88,False
591,243,121,4,8794.54,3.61,False
4862,1981,222,6,23176.99,15.25,False
2242,916,206,6,12407.37,39.35,False
4006,1638,463,5,22041.71,22.37,False
2389,972,310,-4,645.46,4.07,True
4674,1902,115,2,6649.17,4.32,False
3738,1528,140,3,3685.58,33.3,False
3560,1456,245,3,18465.14,24.92,False
272,113,200,2,7040.18,37.49,False
1339,556,233,5,18812.06,12.52,False
2567,1044,63,6,28515.9,32.46,False
3618,1479,462,3,4649.19,24.77,False
86,33,252,3,12826.65,1.56,False
2295,938,129,2,19021.31,19.97,False
879,365,321,2,13501.03,10.3,False
1963,801,397,3,7277.95,6.23,False
4293,1751,98,5,10317.61,11.13,False
3699,1508,245,6,4292.25,14.47,False
4706,1915,428,4,26556.29,6.28,False
3781,1544,280,2,6384.85,27.97,False
2919,1190,186,4,28287.91,17.11,False
4493,1829,53,6,2476.24,34.9,False
4371,1783,475,1,17695.06,24.64,False
1014,418,282,3,26636.49,0.91,False
1050,432,436,5,29555.07,31.55,False
1887,772,221,3,8151.8,5.54,False
2294,938,127,4,12580.36,20.14,False
3218,1319,521,4,27466.73,2.38,False
3467,1413,388,5,25422.03,37.55,False
184,74,402,3,3815.51,22.23,False
1930,788,344,5,20471.45,21.58,False
3709,1512,144,6,27774.45,0.87,False
1787,737,375,3,8957.69,5.83,False
4498,1830,137,3,6856.71,24.64,False
4781,1947,92,-4,3217.55,26.01,True
143,57,1,4,28046.18,30.13,False
4091,1670,319,6,3203.11,0.93,False
354,146,503,2,25525.23,39.62,False
4124,1686,257,2,22198.45,4.44,False
2966,1209,369,5,23551.83,11.42,False
1337,555,288,6,6016.01,17.35,False
3722,1519,476,4,26362.68,20.01,False
4452,1816,17,2,21400.71,1.01,False
2883,1176,36,5,1632.13,18.76,False
303,124,257,5,19486.28,11.93,False
1260,521,464,-6,25788.96,17.39,True
3548,1451,51,1,17701.22,5.37,False
91,35,538,5,3093.67,4.53,False
2184,891,308,6,18174.79,38.09,False
1598,653,239,1,15960.34,39.0,False
4859,1979,548,3,17787.63,22.13,False
3966,1620,20,2,23909.79,26.0,False
372,155,422,2,22010.87,31.98,False
1089,450,362,3,27696.18,18.81,False
1967,802,511,6,178.15,32.43,False
4345,1772,261,1,12402.79,9.83,False
2197,896,529,4,17712.38,24.45,False
4077,1662,253,6,27528.95,2.71,False
4676,1903,364,4,19202.38,37.67,False
1663,681,453,1,28454.31,35.9,False
2803,1143,241,5,20930.63,2.05,False
4854,1977,376,3,13244.67,19.53,False
1826,753,303,3,23238.77,19.96,False
2320,948,252,5,21575.92,11.59,False
1917,782,106,4,9601.06,11.27,False
2387,971,419,4,23643.7,36.4,False
2870,1172,77,6,12784.93,13.39,False
1737,708,253,6,12447.47,4.05,False
3053,1251,23,3,21307.39,10.78,False
3749,1532,217,3,23718.98,11.79,False
1793,739,525,4,3167.96,0.21,False
4150,1696,516,-6,23943.96,12.38,True
862,357,395,4,8524.25,10.19,False
1616,658,28,2,6917.17,27.17,False
1196,492,306,2,231.91,37.11,False
633,260,98,5,670.99,13.14,False
4868,1983,500,4,29178.64,0.34,False
4069,1660,426,-1,7704.15,2.11,True
525,219,516,3,15560.38,15.53,False
3183,1303,228,3,7042.61,10.05,False
2733,1115,101,6,21425.85,10.66,False
3511,1433,536,1,13663.84,27.53,False
2405,977,219,2,24626.16,30.13,False
4032,1647,195,2,10249.56,18.9,False
4542,1847,52,2,22739.34,15.47,False
1716,701,198,2,10972.15,20.68,False
2715,1107,74,5,26375.71,0.84,False
4888,1990,491,1,25302.83,31.34,False
4548,1850,415,6,3308.77,22.92,False
1939,791,496,4,27603.63,38.01,False
3735,1527,55,1,3944.98,3.02,False
1568,642,278,-4,20415.5,20.61,True
444,187,242,5,16605.84,32.82,False
1749,713,308,1,24637.72,10.49,False
4853,1977,63,6,8070.82,6.76,False
1338,556,65,-6,28722.62,23.82,True
1743,710,98,3,12766.01,19.28,False
396,166,149,4,4612.86,6.07,False
1081,446,324,6,22330.1,31.69,False
4264,1739,244,6,6355.5,0.52,False
2384,969,384,4,19989.22,6.07,False
4840,1973,213,1,14315.18,7.51,False
4346,1772,132,5,15508.74,32.49,False
1040,428,194,6,136.55,19.62,False
3658,1495,363,1,21149.58,36.67,False
2876,1174,88,5,7924.57,0.79,False
921,380,112,1,5777.17,26.55,False
1024,422,139,3,13885.05,16.02,False
976,401,176,2,9227.69,27.25,False
1053,433,506,2,13351.31,29.9,False
4828,1968,148,2,14807.74,27.98,False
3345,1366,360,5,26169.14,10.55,False
2092,854,318,2,3046.35,21.42,False
1420,584,159,5,18135.75,38.05,False
2655,1078,96,2,15518.49,4.43,False
4597,1868,355,6,13635.23,9.79,False
3899,1594,253,2,25663.56,25.59,False
1961,800,504,1,3323.13,22.82,False
3370,1374,473,4,14133.05,20.73,False
907,376,285,5,2986.4,6.44,False
3729,1524,278,2,4721.25,35.53,False
770,320,355,5,25756.12,22.64,False
2974,1212,164,4,14696.87,0.96,False
754,313,158,5,5362.71,28.83,False
366,152,334,2,15376.75,31.02,False
4426,1807,76,4,459.59,22.16,False
3495,1427,22,3,14245.14,28.13,False
1758,718,272,1,28654.9,34.6,False
1908,779,384,1,29076.79,34.98,False
4441,1811,343,5,20104.23,24.98,False
1418,584,394,4,28998.3,37.95,False
1340,556,275,2,21810.78,9.38,False
4494,1829,303,1,15327.98,9.88,False
2064,841,316,5,28079.22,26.3,False
4476,1823,38,5,8211.73,32.62,False
2832,1156,15,4,13184.22,16.21,False
3352,1369,265,3,7187.0,32.19,False
2864,1169,453,1,21002.34,10.9,False
