product_id,product_name,category,subcategory,cost_price
1,Light Audio,Electronics,Audio,21544.05
2,Here Accessorie,Electronics,Accessories,21526.4
3,Sort Camera,Electronics,Cameras,9294.98
4,Expect Audio,Electronics,Audio,6081.36
5,Blue Mobile,Electronics,Mobiles,6235.58
6,Cause Mobile,Electronics,Mobiles,23637.35
7,Begin Audio,Electronics,Audio,24069.01
8,Culture Laptop,Electronics,Laptops,23347.1
9,Lawyer Accessorie,Electronics,Accessories,4025.59
10,List Audio,Electronics,Audio,21982.94
11,Onto Camera,Electronics,Cameras,23633.56
12,One Audio,Electronics,Audio,6056.18
13,Music Audio,Electronics,Audio,1310.98
14,Involve Camera,Electronics,Cameras,21079.1
15,Board Camera,Electronics,Cameras,254.03
16,Agree Mobile,Electronics,Mobiles,22067.27
17,Behind Accessorie,Electronics,Accessories,9180.14
18,Health Camera,Electronics,Cameras,14067.33
19,Once Accessorie,Electronics,Accessories,1884.62
20,Better Audio,Electronics,Audio,13768.93
21,Picture Audio,Electronics,Audio,3014.33
22,Piece Mobile,Electronics,Mobiles,19882.69
23,Still Accessorie,Electronics,Accessories,9171.88
24,Garden Laptop,Electronics,Laptops,12752.61
25,Treat Audio,Electronics,Audio,1020.9
26,Image Accessorie,Electronics,Accessories,13007.35
27,Actually Laptop,Electronics,Laptops,12911.87
28,Film Accessorie,Electronics,Accessories,7997.32
29,Job Camera,Electronics,Cameras,18496.02
30,Important Accessorie,Electronics,Accessories,12707.51
31,Start Audio,Electronics,Audio,17733.06
32,Become Accessorie,Electronics,Accessories,465.09
33,Share Accessorie,Electronics,Accessories,24498.46
34,Wear Audio,Electronics,Audio,22474.24
35,Operation Mobile,Electronics,Mobiles,6674.98
36,West Audio,Electronics,Audio,18048.93
37,Eight Audio,Electronics,Audio,13129.6
38,Owner Audio,Electronics,Audio,9535.75
39,Near Laptop,Electronics,Laptops,23707.72
40,Condition Mobile,Electronics,Mobiles,11053.91
41,Reveal Camera,Electronics,Cameras,17277.98
42,Husband Camera,Electronics,Cameras,15306.38
43,Condition Camera,Electronics,Cameras,18409.14
44,Chair Mobile,Electronics,Mobiles,12991.15
45,Exist Audio,Electronics,Audio,16572.56
46,Fish Audio,Electronics,Audio,23919.3
47,Executive Camera,Electronics,Cameras,8591.06
48,Mind Accessorie,Electronics,Accessories,21697.98
49,Child Accessorie,Electronics,Accessories,4846.99
50,At Laptop,Electronics,Laptops,7497.55
51,Computer Accessorie,Electronics,Accessories,17637.28
52,Learn Camera,Electronics,Cameras,8752.64
53,Fact Accessorie,Electronics,Accessories,14358.25
54,Know Audio,Electronics,Audio,24505.01
55,Firm Accessorie,Electronics,Accessories,20125.17
56,Member Accessorie,Electronics,Accessories,23885.08
57,Stay Mobile,Electronics,Mobiles,11087.28
58,Ball Accessorie,Electronics,Accessories,5388.97
59,Herself Audio,Electronics,Audio,14072.35
60,Enter Accessorie,Electronics,Accessories,15411.14
61,Yet Audio,Electronics,Audio,1316.6
62,Employee Audio,Electronics,Audio,5859.27
63,Set Mobile,Electronics,Mobiles,17948.08
64,Process Mobile,Electronics,Mobiles,3479.8
65,Mission Audio,Electronics,Audio,3990.63
66,Phone Camera,Electronics,Cameras,5026.43
67,Practice Accessorie,Electronics,Accessories,16165.15
68,Deal Mobile,Electronics,Mobiles,5843.89
69,Lot Mobile,Electronics,Mobiles,4417.87
70,Both Laptop,Electronics,Laptops,956.68
71,Central Camera,Electronics,Cameras,4698.48
72,Fly Accessorie,Electronics,Accessories,281.22
73,According Audio,Electronics,Audio,23214.95
74,Individual Accessorie,Electronics,Accessories,24728.03
75,Go Audio,Electronics,Audio,22237.04
76,Thought Laptop,Electronics,Laptops,11727.12
77,Pressure Laptop,Electronics,Laptops,8300.57
78,Husband Camera,Electronics,Cameras,17979.02
79,Summer Mobile,Electronics,Mobiles,19779.65
80,Training Audio,Electronics,Audio,4869.37
81,Girl Audio,Electronics,Audio,22431.22
82,Less Camera,Electronics,Cameras,2214.11
83,Good Mobile,Electronics,Mobiles,3558.27
84,Law Accessorie,Electronics,Accessories,220.41
85,Team Camera,Electronics,Cameras,18856.23
86,Than Accessorie,Electronics,Accessories,18085.92
87,Trade Mobile,Electronics,Mobiles,9020.82
88,Rather Laptop,Electronics,Laptops,2999.71
89,Phone Accessorie,Electronics,Accessories,17167.54
90,Century Accessorie,Electronics,Accessories,15985.85
91,First Accessorie,Electronics,Accessories,5560.19
92,Full Laptop,Electronics,Laptops,11401.72
93,Player Audio,Electronics,Audio,17563.42
94,Yourself Camera,Electronics,Cameras,20059.78
95,Run Laptop,Electronics,Laptops,17024.53
96,Deep Audio,Electronics,Audio,2092.66
97,Measure Camera,Electronics,Cameras,9076.53
98,Former Audio,Electronics,Audio,20727.91
99,Cost Audio,Electronics,Audio,13439.67
100,Information Laptop,Electronics,Laptops,13032.52
101,From Mobile,Electronics,Mobiles,17937.1
102,Film Camera,Electronics,Cameras,12783.87
103,Simple Mobile,Electronics,Mobiles,12855.53
104,Run Camera,Electronics,Cameras,13991.99
105,Property Accessorie,Electronics,Accessories,9928.92
106,Military Mobile,Electronics,Mobiles,14478.87
