item_id,order_id,product_id,quantity,unit_price,discount_percent
4215,1720,355,6,13363.64,7.5
992,409,104,5,3310.66,16.99
2258,922,364,1,2738.36,15.54
3900,1594,477,1,8167.91,12.09
3194,1308,382,2,12537.92,28.6
4451,1815,338,6,15285.25,21.86
980,403,265,4,8150.43,9.21
2054,837,144,1,24930.61,14.98
4667,1899,508,6,9553.71,12.06
2629,1067,31,5,6779.71,6.3
157,62,201,4,23199.49,18.59
2558,1040,331,5,12521.61,27.74
2228,908,140,4,11833.16,21.53
1063,437,246,5,1878.97,19.31
974,400,475,4,23194.79,21.44
496,208,43,5,27235.84,0.11
1684,688,391,5,10744.85,30.32
1466,604,245,5,24640.96,22.19
60,24,3,4,2375.56,32.13
4666,1898,280,6,27075.74,22.01
99,40,343,2,27553.08,28.03
942,388,352,2,17487.6,32.34
930,384,307,3,5428.03,27.02
2895,1181,455,4,11924.54,22.94
3362,1372,211,2,27743.31,18.69
2473,1006,496,1,23405.57,23.35
4102,1674,166,2,11982.51,10.19
984,405,209,1,14701.08,21.37
795,331,317,2,15423.58,29.0
4614,1876,334,6,19584.06,22.08
4662,1896,537,6,10549.4,31.29
1496,616,115,5,5681.52,15.7
1092,450,368,5,3447.21,1.48
4658,1895,357,6,26879.45,32.98
4201,1715,129,6,12000.71,6.07
4395,1793,456,5,17570.94,20.96
3667,1499,328,2,3688.16,36.13
1052,433,214,5,15729.25,2.6
3059,1253,435,-1,29775.04,34.05
2056,838,264,1,12787.02,20.55
4912,2000,21,1,9355.13,13.59
3470,1415,249,6,18941.32,35.24
3,1,339,6,21970.35,25.41
3416,1394,337,3,15104.06,15.51
222,91,376,-6,23781.76,9.51
1641,672,287,3,11092.57,20.36
3733,1525,117,5,27039.29,25.6
1947,794,386,3,13091.62,30.88
591,243,121,4,8794.54,3.61
4862,1981,222,6,23176.99,15.25
2242,916,206,6,12407.37,39.35
4006,1638,463,5,22041.71,22.37
2389,972,310,-4,645.46,4.07
4674,1902,115,2,6649.17,4.32
3738,1528,140,3,3685.58,33.3
3560,1456,245,3,18465.14,24.92
272,113,200,2,7040.18,37.49
1339,556,233,5,18812.06,12.52
2567,1044,63,6,28515.9,32.46
3618,1479,462,3,4649.19,24.77
86,33,252,3,12826.65,1.56
2295,938,129,2,19021.31,19.97
879,365,321,2,13501.03,10.3
1963,801,397,3,7277.95,6.23
4293,1751,98,5,10317.61,11.13
3699,1508,245,6,4292.25,14.47
4706,1915,428,4,26556.29,6.28
3781,1544,280,2,6384.85,27.97
2919,1190,186,4,28287.91,17.11
4493,1829,53,6,2476.24,34.9
4371,1783,475,1,17695.06,24.64
1014,418,282,3,26636.49,0.91
1050,432,436,5,29555.07,31.55
1887,772,221,3,8151.8,5.54
2294,938,127,4,12580.36,20.14
3218,1319,521,4,27466.73,2.38
3467,1413,388,5,25422.03,37.55
184,74,402,3,3815.51,22.23
1930,788,344,5,20471.45,21.58
3709,1512,144,6,27774.45,0.87
1787,737,375,3,8957.69,5.83
4498,1830,137,3,6856.71,24.64
4781,1947,92,-4,3217.55,26.01
143,57,1,4,28046.18,30.13
4091,1670,319,6,3203.11,0.93
354,146,503,2,25525.23,39.62
4124,1686,257,2,22198.45,4.44
2966,1209,369,5,23551.83,11.42
1337,555,288,6,6016.01,17.35
3722,1519,476,4,26362.68,20.01
4452,1816,17,2,21400.71,1.01
2883,1176,36,5,1632.13,18.76
303,124,257,5,19486.28,11.93
1260,521,464,-6,25788.96,17.39
3548,1451,51,1,17701.22,5.37
91,35,538,5,3093.67,4.53
2184,891,308,6,18174.79,38.09
1598,653,239,1,15960.34,39.0
4859,1979,548,3,17787.63,22.13
3966,1620,20,2,23909.79,26.0
372,155,422,2,22010.87,31.98
1089,450,362,3,27696.18,18.81
1967,802,511,6,178.15,32.43
4345,1772,261,1,12402.79,9.83
2197,896,529,4,17712.38,24.45
4077,1662,253,6,27528.95,2.71
4676,1903,364,4,19202.38,37.67
1663,681,453,1,28454.31,35.9
2803,1143,241,5,20930.63,2.05
4854,1977,376,3,13244.67,19.53
1826,753,303,3,23238.77,19.96
2320,948,252,5,21575.92,11.59
1917,782,106,4,9601.06,11.27
2387,971,419,4,23643.7,36.4
2870,1172,77,6,12784.93,13.39
1737,708,253,6,12447.47,4.05
3053,1251,23,3,21307.39,10.78
3749,1532,217,3,23718.98,11.79
1793,739,525,4,3167.96,0.21
4150,1696,516,-6,23943.96,12.38
862,357,395,4,8524.25,10.19
1616,658,28,2,6917.17,27.17
1196,492,306,2,231.91,37.11
633,260,98,5,670.99,13.14
4868,1983,500,4,29178.64,0.34
4069,1660,426,-1,7704.15,2.11
525,219,516,3,15560.38,15.53
3183,1303,228,3,7042.61,10.05
2733,1115,101,6,21425.85,10.66
3511,1433,536,1,13663.84,27.53
2405,977,219,2,24626.16,30.13
4032,1647,195,2,10249.56,18.9
4542,1847,52,2,22739.34,15.47
1716,701,198,2,10972.15,20.68
2715,1107,74,5,26375.71,0.84
4888,1990,491,1,25302.83,31.34
4548,1850,415,6,3308.77,22.92
1939,791,496,4,27603.63,38.01
3735,1527,55,1,3944.98,3.02
1568,642,278,-4,20415.5,20.61
444,187,242,5,16605.84,32.82
1749,713,308,1,24637.72,10.49
4853,1977,63,6,8070.82,6.76
1338,556,65,-6,28722.62,23.82
1743,710,98,3,12766.01,19.28
396,166,149,4,4612.86,6.07
1081,446,324,6,22330.1,31.69
4264,1739,244,6,6355.5,0.52
2384,969,384,4,19989.22,6.07
4840,1973,213,1,14315.18,7.51
4346,1772,132,5,15508.74,32.49
1040,428,194,6,136.55,19.62
3658,1495,363,1,21149.58,36.67
2876,1174,88,5,7924.57,0.79
921,380,112,1,5777.17,26.55
1024,422,139,3,13885.05,16.02
976,401,176,2,9227.69,27.25
1053,433,506,2,13351.31,29.9
4828,1968,148,2,14807.74,27.98
3345,1366,360,5,26169.14,10.55
2092,854,318,2,3046.35,21.42
1420,584,159,5,18135.75,38.05
2655,1078,96,2,15518.49,4.43
4597,1868,355,6,13635.23,9.79
3899,1594,253,2,25663.56,25.59
1961,800,504,1,3323.13,22.82
3370,1374,473,4,14133.05,20.73
907,376,285,5,2986.4,6.44
3729,1524,278,2,4721.25,35.53
770,320,355,5,25756.12,22.64
2974,1212,164,4,14696.87,0.96
754,313,158,5,5362.71,28.83
366,152,334,2,15376.75,31.02
4426,1807,76,4,459.59,22.16
3495,1427,22,3,14245.14,28.13
1758,718,272,1,28654.9,34.6
1908,779,384,1,29076.79,34.98
4441,1811,343,5,20104.23,24.98
1418,584,394,4,28998.3,37.95
1340,556,275,2,21810.78,9.38
4494,1829,303,1,15327.98,9.88
2064,841,316,5,28079.22,26.3
4476,1823,38,5,8211.73,32.62
2832,1156,15,4,13184.22,16.21
3352,1369,265,3,7187.0,32.19
2864,1169,453,1,21002.34,10.9
2853,1165,239,6,22483.07,7.27
2296,939,175,6,25086.18,22.74
3269,1341,192,-5,1477.27,9.98
3875,1584,205,6,21407.31,3.56
4892,1992,217,3,16111.13,17.63
1028,423,62,-6,10082.52,12.87
2220,906,487,1,11680.01,16.6
4392,1792,278,6,242.86,29.85
3679,1503,12,2,28883.09,11.2
3663,1497,515,4,28737.87,39.72
172,70,297,3,2642.71,32.51
2591,1055,443,2,376.82,31.16
3469,1414,125,6,5543.65,5.56
4618,1877,516,3,29284.86,31.64
873,363,181,4,20584.47,10.43
4367,1782,43,5,29452.37,7.53
631,258,333,1,18905.43,12.38
1905,778,446,5,16912.51,14.82
3394,1383,473,6,13127.84,33.79
3578,1462,81,4,2317.51,5.02
3555,1455,290,6,20139.55,6.99
4294,1751,169,3,15942.13,36.9
2906,1185,548,3,12786.3,20.47
104,42,398,2,8851.92,5.45
3904,1596,352,3,2039.66,5.09
349,142,382,6,19455.47,9.28
844,349,164,2,15657.39,6.13
3341,1365,486,2,15078.54,39.45
1090,450,81,6,24568.4,28.81
2299,939,361,4,4066.81,25.09
1739,708,80,4,25827.28,26.95
3187,1304,318,4,11514.65,0.03
1880,770,421,3,15388.15,23.55
2903,1184,448,2,11279.17,9.74
2142,874,275,5,25451.75,12.42
1221,503,152,4,15534.21,12.01
2598,1057,153,4,15780.91,22.29
19,9,84,2,14487.09,37.14
3314,1356,512,5,27649.74,8.34
4011,1640,242,-2,3327.41,30.06
3391,1382,532,3,15127.02,10.68
1527,626,137,3,4999.58,15.79
3369,1374,118,4,15580.67,23.68
115,47,249,4,8289.53,1.96
3441,1404,425,5,24629.13,24.51
1376,568,429,-4,11473.4,7.19
3001,1226,63,-6,27759.68,19.14
4435,1809,445,6,28016.64,22.45
2383,969,500,3,16065.62,35.02
3533,1443,194,2,2301.72,23.55
4226,1724,495,1,3109.15,25.16
1433,590,393,3,23598.54,37.59
1622,662,329,4,16779.01,12.1
1197,493,203,3,28236.41,32.53
1377,569,450,-2,7828.06,24.29
503,210,93,3,7910.44,12.54
2172,885,292,1,10611.43,24.84
4065,1659,66,5,17971.87,28.0
2592,1055,470,4,9448.56,11.57
1022,422,44,5,15980.45,33.05
510,212,58,4,1569.64,23.76
3349,1367,259,3,21535.34,5.19
1702,695,309,2,13678.83,2.12
2410,980,533,1,23052.55,38.94
562,233,161,5,5254.83,34.68
3147,1290,382,1,2928.63,20.39
3507,1432,56,6,18908.79,18.92
4351,1775,74,4,28195.69,34.16
3930,1607,474,-6,8749.92,32.14
2243,916,14,1,964.2,39.98
4554,1852,57,3,15092.74,3.62
2581,1050,307,3,2229.07,23.75
1440,593,460,5,3105.07,21.05
2461,1000,354,4,27235.88,35.73
4918,4123,152,2,646.42,1.99
2533,1031,455,1,5029.72,0.78
783,326,385,5,17768.94,18.03
1248,516,190,4,5587.84,36.67
423,180,436,2,7613.31,33.66
227,95,103,2,7695.4,13.62
3886,1589,79,5,20422.29,39.87
1500,618,289,6,9948.39,20.55
1657,679,308,1,29780.69,14.91
779,324,396,1,8377.78,19.05
4254,1734,218,5,29215.84,22.0
580,238,481,1,549.83,30.92
2786,1136,329,4,18257.28,34.1
2561,1041,242,4,1376.91,8.11
4322,1764,399,6,16375.99,12.78
4321,1763,389,2,8395.94,38.58
727,301,341,5,9259.85,3.5
3865,1579,539,4,8341.32,2.47
3205,1313,375,1,27362.17,4.06
995,410,408,5,29609.41,8.98
4908,1998,91,2,19018.18,10.87
3605,1475,347,4,15486.4,36.22
4775,1946,427,4,27467.67,37.41
1114,463,10,5,10171.47,21.73
752,312,223,4,18863.64,3.47
4566,1856,65,6,23915.26,30.12
543,225,174,1,10673.54,0.5
2584,1051,94,2,22009.53,35.44
1344,558,269,3,1631.76,29.11
3980,1627,328,4,20954.89,0.55
1501,618,128,-5,16875.69,28.73
4466,1820,525,6,778.72,39.2
854,353,17,1,4975.02,6.54
287,118,449,2,26010.85,9.27
3196,1309,27,2,23583.59,19.28
1942,792,63,1,2580.03,2.93
1813,747,233,4,23215.96,26.71
2233,910,457,6,7687.12,33.03
3003,1226,158,3,344.02,22.15
3373,1375,216,-3,24276.0,13.76
1741,709,473,-1,791.33,32.26
300,124,296,5,28597.3,5.07
4016,1641,80,6,1565.81,15.72
3343,1365,200,4,26522.87,2.04
1431,589,18,2,17289.86,12.86
2987,1217,527,3,28716.37,11.45
3168,1296,312,4,16772.85,22.84
3141,1288,502,6,23767.36,18.54
1479,609,466,6,4852.07,0.72
139,55,96,3,16153.04,25.16
4663,1897,189,3,19117.94,31.34
2915,1189,458,3,8911.15,23.35
3074,1259,487,3,331.8,0.48
3195,1308,411,1,6780.39,12.55
666,273,91,4,6676.33,5.44
1825,753,409,5,19240.42,33.96
449,189,450,6,12495.83,24.12
2630,1068,232,1,29212.38,11.12
1614,658,24,4,7143.44,18.41
1333,553,80,4,8133.18,17.14
3061,1253,509,2,29063.36,15.06
1020,421,255,5,17247.81,18.97
3645,1489,281,2,7044.25,36.15
1027,423,411,5,10661.57,31.94
4697,1912,14,4,2247.45,15.65
1201,496,16,3,1500.84,4.04
843,349,433,4,13508.82,13.47
304,125,525,5,19453.4,11.34
3562,1457,481,1,4423.4,1.44
320,132,401,2,5917.58,38.42
2344,955,63,1,5830.97,1.51
3612,1477,183,2,17588.4,4.65
2856,1166,155,2,15604.74,27.75
2187,892,371,3,7547.77,22.48
3107,1273,458,1,14673.8,31.07
1533,629,301,2,8977.98,26.39
1991,811,419,2,15826.34,26.59
3532,1442,356,6,24776.69,3.36
3319,1358,355,2,29876.71,0.94
1012,416,215,5,22584.37,33.96
2605,1060,2,6,16663.88,26.93
180,73,175,5,1352.01,28.57
1125,467,443,4,1704.69,2.34
4400,1795,330,3,28195.49,20.35
1592,651,326,1,10682.73,30.8
344,141,346,5,22249.98,26.77
1269,528,35,2,17468.77,32.53
2436,991,97,4,8529.97,20.94
476,202,408,2,1450.51,24.19
1286,536,171,6,10679.6,9.21
71,27,184,1,10192.14,20.02
902,374,304,6,18354.4,28.59
1314,547,138,2,13964.04,3.47
4109,1679,278,1,4308.05,15.91
163,66,140,2,14766.2,33.52
4035,1648,542,3,8656.84,11.44
4382,1787,72,1,16187.06,13.27
3377,1376,123,2,7250.75,28.75
140,56,46,4,16278.15,26.29
3529,1442,542,1,18193.39,15.0
826,342,56,1,22145.17,14.23
4044,1652,187,2,13835.17,11.33
3404,1388,300,2,19962.61,21.27
443,187,128,3,22495.78,10.51
3241,1328,409,-4,5770.27,23.87
1509,620,517,-3,11296.32,7.96
4470,1821,331,2,3992.49,5.08
365,151,273,4,4727.17,22.85
3149,1291,131,-3,13133.77,35.08
3820,1559,54,1,8434.32,8.51
4733,1928,27,1,23735.14,26.6
1013,417,84,5,29583.54,19.67
1692,692,494,3,6019.39,14.3
1218,503,304,1,15147.32,12.97
1095,453,424,3,12896.0,35.15
1210,499,510,5,10932.19,6.19
1302,542,327,6,23593.49,15.67
2015,823,21,2,23586.34,36.19
2645,1075,153,3,25108.13,7.66
273,113,322,3,5220.33,13.79
1699,694,67,3,14493.29,16.5
2323,949,96,6,6530.08,2.25
648,265,292,1,9066.77,24.54
4291,1750,180,6,15361.82,27.89
4553,1852,457,5,22254.91,38.4
3202,1312,422,5,15099.82,31.8
2941,1198,304,1,958.8,25.14
1399,578,343,5,26263.84,36.0
1155,478,112,5,17012.2,39.74
3567,1458,252,5,6580.81,12.84
4818,1963,355,3,20730.94,28.95
4043,1651,352,2,12526.51,16.05
3614,1478,516,1,8598.89,30.04
1270,528,292,6,18751.07,30.2
2559,1040,489,1,7550.97,23.81
2861,1168,272,4,18866.05,36.67
1026,423,144,4,20737.19,20.39
4376,1784,99,1,22399.97,11.73
1864,765,498,1,17614.63,2.86
1241,511,239,1,28205.91,33.42
4589,1866,119,5,9652.78,25.34
1884,771,547,3,4375.54,26.89
2788,1136,229,1,22782.02,18.71
1368,565,16,4,24306.58,23.25
3150,1291,537,4,23045.65,16.13
808,334,478,-6,11103.4,4.4
3302,1353,203,1,21685.48,14.41
1847,761,87,5,1838.23,0.87
2613,1062,71,5,14793.56,4.04
89,34,544,3,9320.72,11.99
2136,871,313,5,14691.31,22.42
3338,1364,424,1,17628.53,20.32
211,86,131,5,492.29,27.54
3350,1367,25,3,14905.13,24.02
4148,1695,45,6,20404.19,9.14
763,317,40,-1,3827.97,15.86
3774,1542,32,6,1309.0,29.14
2470,1003,271,3,109.64,21.71
2018,824,335,4,20742.35,32.27
1320,550,234,4,8214.17,3.61
4695,1911,371,2,10244.13,14.71
3402,1387,168,1,26004.82,25.12
1681,688,370,4,4289.36,32.36
4160,1699,480,1,11007.69,16.64
2366,962,493,3,23460.17,22.5
4682,1905,269,1,12961.2,11.36
2815,1147,539,3,6620.62,12.26
2062,840,129,6,12621.31,9.1
3524,1439,289,1,29726.53,9.33
1259,521,501,3,18835.39,14.95
810,335,81,3,27493.34,24.83
1810,746,481,5,13678.55,29.31
1630,666,412,4,25509.31,23.84
131,53,366,1,18776.11,35.61
953,392,380,1,6464.34,27.19
600,246,509,1,640.05,29.37
3225,1322,14,3,23907.77,16.28
189,76,175,5,20117.91,29.22
733,304,254,2,24515.68,12.04
1179,485,478,5,11003.29,0.38
1578,646,544,2,1818.95,2.85
3096,1269,218,6,20148.35,36.69
3199,1311,93,5,17089.31,23.14
3348,1367,363,6,7234.54,34.15
4196,1711,285,1,14767.98,8.75
4380,1785,465,1,12787.87,36.93
3568,1459,544,2,22167.51,31.32
158,63,119,6,1708.39,29.48
516,214,462,3,28946.26,7.69
736,305,19,1,20619.13,4.88
3158,1293,293,4,23382.99,26.12
998,411,30,6,1541.9,23.82
34,14,230,6,11862.46,13.55
145,58,198,2,7103.16,1.81
3185,1303,105,6,1062.59,9.41
3892,1591,436,4,23780.52,24.07
581,239,441,4,8896.61,5.63
187,76,542,6,8107.2,6.19
3898,1593,500,3,22823.01,29.83
1632,668,397,5,7005.94,11.0
4796,1955,327,2,22631.6,11.46
3240,1328,457,4,22780.79,15.48
3651,1492,290,6,18397.48,36.52
2993,1220,303,3,24134.55,1.61
4033,1647,17,2,7722.59,35.77
3048,1250,5,5,22503.97,10.77
4145,1695,508,5,7743.81,35.62
2084,851,507,5,26622.93,29.79
445,188,4,3,29924.8,2.63
2694,1097,494,5,28123.05,17.22
3784,1546,82,3,456.39,15.17
4182,1706,306,1,21327.07,8.68
202,83,199,5,9520.71,28.36
1513,622,252,5,13325.9,10.61
2486,1010,229,4,5593.76,29.82
2900,1183,36,5,28684.48,31.88
766,318,269,5,23402.59,19.14
1453,598,482,4,23344.03,24.33
1481,610,286,3,20976.9,31.6
2863,1169,257,4,27193.59,10.43
1573,644,365,3,20563.08,16.25
2351,957,6,1,10075.95,8.77
2181,890,17,5,23524.91,12.22
3484,1421,523,4,13731.8,3.99
4277,1745,70,5,13074.15,28.1
4489,1828,289,6,2289.38,29.72
1057,434,525,6,29082.81,7.45
4306,1754,405,4,19964.95,15.72
840,347,499,4,2025.9,10.54
2792,1138,112,3,28931.39,7.26
592,243,142,4,18103.48,31.36
3097,1269,345,6,14961.55,28.86
3017,1235,12,6,16480.89,22.53
3068,1256,247,3,18888.1,22.48
4718,1921,89,3,2625.35,26.95
2589,1054,285,4,25212.88,17.22
2489,1011,192,6,12265.31,38.67
2300,940,207,2,1494.13,25.82
3271,1342,484,-2,7933.67,15.87
2575,1047,157,3,28008.8,0.87
2085,851,318,6,1753.18,23.78
991,408,218,3,14530.66,32.23
4546,1849,305,4,8114.08,29.04
1997,814,475,3,7330.94,12.72
4850,1976,460,5,21459.64,21.78
4147,1695,355,1,20577.18,15.03
