order_id,customer_id,order_date,status,region_code
1,127,24-11-2025,DELIVERED,CENTRAL
2,486,2025-06-30 16:28:53,SHIPPED,EAST
3,93,18-03-2024,PLACED,CENTRAL
4,220,2023-12-10 20:33:58,DELIVERED,EAST
5,526,2023-02-01 03:36:21,RETURNED,NORTH
6,136,2025-10-02 15:45:39,CANCELLED,SOUTH
7,313,2025-09-25 11:05:44,CANCELLED,EAST
8,224,2024-12-25 23:45:47,DELIVERED,CENTRAL
9,105,2023-01-12 09:56:14,DELIVERED,EAST
10,290,2024-04-08 15:59:20,DELIVERED,EAST
11,333,2024-03-06 03:01:06,DELIVERED,EAST
12,530,2024-01-09 07:06:38,CANCELLED,CENTRAL
13,328,2025-11-23 12:24:50,PLACED,WEST
14,266,2024-10-12 05:15:35,DELIVERED,CENTRAL
15,586,2023-10-23 00:33:01,DELIVERED,CENTRAL
16,488,2025-11-09 17:04:20,SHIPPED,SOUTH
17,572,2023-10-09 09:14:03,DELIVERED,EAST
18,573,2023-10-12 09:16:58,CANCELLED,NORTH
19,229,2024-04-22 00:58:07,CANCELLED,EAST
20,302,2024-12-21 10:14:57,DELIVERED,CENTRAL
21,73,2025-01-03 13:37:32,DELIVERED,WEST
22,424,2023-03-25 23:34:34,SHIPPED,SOUTH
23,584,2024-12-11 19:29:58,CANCELLED,SOUTH
24,500,2024-05-31 17:19:28,SHIPPED,NORTH
25,,2024-02-29 21:51:28,DELIVERED,CENTRAL
26,502,2023-05-17 18:25:09,DELIVERED,WEST
27,489,18-08-2024,DELIVERED,EAST
28,330,2025-04-04 22:22:28,DELIVERED,SOUTH
29,353,2024-04-29 19:38:34,DELIVERED,CENTRAL
30,67,2023-03-13 00:30:13,SHIPPED,CENTRAL
31,346,2024-11-04 16:12:41,RETURNED,EAST
32,502,2024-07-12 01:50:37,SHIPPED,WEST
33,,2023-12-15 11:18:23,PLACED,NORTH
34,174,2023-07-11 07:48:41,DELIVERED,NORTH
35,262,2025-04-10 16:18:26,DELIVERED,NORTH
36,21,2023-03-16 22:19:59,DELIVERED,WEST
37,259,2025-01-06 22:46:38,SHIPPED,NORTH
38,104,2025-10-26 03:09:18,DELIVERED,SOUTH
39,108,2025-03-05 17:15:47,PLACED,NORTH
40,510,2023-11-05 14:05:03,DELIVERED,CENTRAL
41,367,2025-12-28 18:01:22,SHIPPED,CENTRAL
42,213,2025-12-05 02:06:05,SHIPPED,NORTH
43,,2023-05-19 06:15:58,CANCELLED,WEST
44,93,2025-03-05 21:45:29,DELIVERED,EAST
45,468,2024-04-04 20:30:24,PLACED,SOUTH
46,298,2024-07-13 13:46:33,SHIPPED,NORTH
47,47,2023-01-16 00:36:37,DELIVERED,SOUTH
48,449,2025-08-23 22:38:47,DELIVERED,EAST
49,188,2023-06-26 19:57:52,RETURNED,EAST
50,490,2024-10-17 03:36:00,DELIVERED,NORTH
51,61,2023-09-05 14:41:28,RETURNED,WEST
52,449,2023-10-09 13:53:00,DELIVERED,CENTRAL
53,,2025-11-29 06:40:20,DELIVERED,SOUTH
54,500,2023-06-25 10:36:51,DELIVERED,NORTH
55,322,2023-01-20 04:49:19,DELIVERED,CENTRAL
56,230,2025-11-06 13:36:27,DELIVERED,CENTRAL
57,255,2025-01-18 15:38:26,DELIVERED,WEST
58,572,10-08-2025,DELIVERED,SOUTH
59,481,2025-02-09 06:03:57,PLACED,WEST
60,339,08-03-2024,SHIPPED,WEST
61,241,2023-05-03 11:01:03,CANCELLED,WEST
62,511,2024-11-25 11:54:27,RETURNED,NORTH
63,423,2023-02-25 15:54:40,PLACED,NORTH
64,312,2025-02-28 16:12:16,DELIVERED,WEST
65,373,2023-03-26 07:31:35,CANCELLED,EAST
66,485,2025-10-17 20:58:09,DELIVERED,NORTH
67,228,2023-01-04 09:54:29,CANCELLED,EAST
68,383,2025-12-26 16:02:17,CANCELLED,WEST
69,420,2023-06-16 03:48:50,SHIPPED,NORTH
70,403,2023-12-01 21:45:33,DELIVERED,EAST
71,425,2023-03-14 05:39:32,CANCELLED,CENTRAL
72,462,2024-12-11 12:39:21,RETURNED,SOUTH
73,5,2025-04-03 21:24:57,DELIVERED,WEST
74,495,2025-02-28 16:01:26,RETURNED,CENTRAL
75,132,2023-06-10 20:46:17,DELIVERED,EAST
76,394,2024-10-12 08:57:10,RETURNED,SOUTH
77,352,2024-04-01 23:35:04,PLACED,WEST
78,525,2024-04-09 08:17:21,DELIVERED,EAST
79,567,2025-09-09 16:24:51,SHIPPED,EAST
