
COHORT RETENTION REPORT (month 0-3, first 30 rows)
-------------------------------------------------------
Cohort Month  Month Offset  Active Customers  Cohort Size  Retention %
------------  ------------  ----------------  -----------  -----------
2023-01       0             1                 16           6.25       
2023-02       0             1                 12           8.33       
2023-02       2             1                 12           8.33       
2023-02       3             2                 12           16.67      
2023-03       0             1                 20           5.0        
2023-03       2             2                 20           10.0       
2023-03       3             4                 20           20.0       
2023-04       0             3                 17           17.65      
2023-04       1             2                 17           11.76      
2023-04       2             2                 17           11.76      
2023-04       3             3                 17           17.65      
2023-05       0             1                 15           6.67       
2023-05       2             1                 15           6.67       
2023-06       2             2                 19           10.53      
2023-06       3             2                 19           10.53      
2023-07       0             1                 9            11.11      
2023-07       1             1                 9            11.11      
2023-07       3             2                 9            22.22      
2023-08       2             6                 16           37.5       
2023-08       3             3                 16           18.75      
2023-09       0             2                 13           15.38      
2023-09       2             1                 13           7.69       
2023-10       0             2                 17           11.76      
2023-10       1             2                 17           11.76      
2023-10       2             2                 17           11.76      
2023-10       3             1                 17           5.88       
2023-11       0             1                 16           6.25       
2023-11       1             1                 16           6.25       
2023-11       2             2                 16           12.5       
2023-11       3             4                 16           25.0       
