agent_id,agent_name,role,team_lead_id
A001,Agent_001,Support Agent,TL01
A002,Agent_002,Support Agent,TL01
A003,Agent_003,Support Agent,TL01
A004,Agent_004,Support Agent,TL01
A005,Agent_005,Support Agent,TL01
A006,Agent_006,Support Agent,TL02
A007,Agent_007,Support Agent,TL02
A008,Agent_008,Support Agent,TL02
A009,Agent_009,Support Agent,TL02
A010,Agent_010,Support Agent,TL02
A011,Agent_011,Support Agent,TL03
A012,Agent_012,Support Agent,TL03
A013,Agent_013,Support Agent,TL03
A014,Agent_014,Support Agent,TL03
A015,Agent_015,Support Agent,TL03
A016,Agent_016,Support Agent,TL04
A017,Agent_017,Support Agent,TL04
A018,Agent_018,Support Agent,TL04
A019,Agent_019,Support Agent,TL04
A020,Agent_020,Support Agent,TL04
A021,Agent_021,Support Agent,TL05
A022,Agent_022,Support Agent,TL05
A023,Agent_023,Support Agent,TL05
A024,Agent_024,Support Agent,TL05
A025,Agent_025,Support Agent,TL05
A026,Agent_026,Support Agent,TL06
A027,Agent_027,Support Agent,TL06
A028,Agent_028,Support Agent,TL06
A029,Agent_029,Support Agent,TL06
A030,Agent_030,Support Agent,TL06
A031,Agent_031,Support Agent,TL07
A032,Agent_032,Support Agent,TL07
A033,Agent_033,Support Agent,TL07
A034,Agent_034,Support Agent,TL07
A035,Agent_035,Support Agent,TL07
A036,Agent_036,Support Agent,TL08
A037,Agent_037,Support Agent,TL08
A038,Agent_038,Support Agent,TL08
A039,Agent_039,Support Agent,TL08
A040,Agent_040,Support Agent,TL08
A041,Agent_041,Support Agent,TL09
A042,Agent_042,Support Agent,TL12
